dna_ID,PC1,PC2,Ethnicity,Region
NA17372,0.0023,0.0013,Greek,modern
HG00103,0.0418,-0.0086,Scottish,modern
HG00104,0.0376,-0.0039,Scottish,modern
HG00105,0.0419,-0.011,Scottish,modern
HG00106,0.0418,-0.0057,Scottish,modern
HG00128,0.0381,-0.0106,English,modern
HG00129,0.0403,-0.0119,English,modern
HG00130,0.0359,-0.0088,English,modern
HG00131,0.036,-0.009,English,modern
HG00233,0.0381,-0.0152,English,modern
HG00234,0.0398,-0.0099,English,modern
HG00232,0.0368,-0.0084,English,modern
HG01500,0.0162,-0.0258,Spanish,modern
HG01501,0.0166,-0.0239,Spanish,modern
HG01503,0.0218,-0.0233,Spanish,modern
HG01504,0.0167,-0.0293,Spanish,modern
HG01506,0.02,-0.0241,Spanish,modern
HG01507,0.0217,-0.0241,Spanish,modern
HG01509,0.0136,-0.0268,Spanish,modern
HG01510,0.0208,-0.0237,Spanish,modern
HG01512,0.0271,-0.0259,Spanish,modern
HG01513,0.0262,-0.0278,Spanish,modern
HG01515,0.0315,-0.0312,Spanish_North,modern
HG01516,0.034,-0.0338,Spanish_North,modern
HG01518,0.0333,-0.0318,Spanish_North,modern
HG01524,0.0183,-0.0255,Spanish,modern
HG01527,0.0135,-0.0242,Spanish,modern
HG01528,0.0182,-0.0281,Spanish,modern
HG01530,0.0203,-0.0236,Spanish,modern
HG01536,0.0251,-0.0228,Spanish,modern
HG01537,0.0233,-0.0192,Spanish,modern
HG01605,0.023,-0.0237,Spanish,modern
HG01606,0.0249,-0.0258,Spanish,modern
HG01607,0.0175,-0.0208,Spanish,modern
HG01608,0.0213,-0.0239,Spanish,modern
HG01613,0.0226,-0.0194,Spanish,modern
HG01615,0.0229,-0.0186,Spanish,modern
HG01617,0.0186,-0.0233,Spanish,modern
HG01618,0.0198,-0.0209,Spanish,modern
HG01619,0.017,-0.0255,Spanish,modern
HG01620,0.0175,-0.023,Spanish,modern
HG01623,0.0174,-0.028,Spanish,modern
HG01624,0.0168,-0.0274,Spanish,modern
HG01625,0.0213,-0.0199,Spanish,modern
HG01626,0.0099,-0.0154,Spanish,modern
HG00171,0.0549,0.0078,Finnish,modern
HG00174,0.0477,3.00E-04,Finnish,modern
HG00190,0.0478,6.00E-04,Finnish,modern
HG00266,0.0487,0.0043,Finnish,modern
HG00231,0.0371,-0.0039,English,modern
HG00183,0.0467,0.0104,Finnish,modern
HG00126,0.0403,-0.01,English,modern
HG00173,0.0522,0.0057,Finnish,modern
HG00182,0.0504,0.0087,Finnish,modern
HG01747,0.022,-0.0226,Spanish,modern
HG01746,0.0239,-0.026,Spanish,modern
HG01675,0.024,-0.029,Spanish,modern
HG01680,0.0244,-0.0264,Spanish,modern
